positive label,label tax group,pool label,pool tax group,Baltimore,N in class,Features,k,AUC
Bos taurus,species,Bovidae,family,all,65,DNA,1,0.341
Bos taurus,species,Bovidae,family,all,65,DNA,2,0.286
Bos taurus,species,Bovidae,family,all,65,DNA,3,0.587
Bos taurus,species,Bovidae,family,all,65,DNA,4,0.73
Bos taurus,species,Bovidae,family,all,65,DNA,5,0.738
Bos taurus,species,Bovidae,family,all,65,DNA,6,0.69
Bos taurus,species,Bovidae,family,all,65,DNA,7,0.722
Bos taurus,species,Bovidae,family,all,65,DNA,8,0.762
Bos taurus,species,Bovidae,family,all,65,DNA,9,0.706
Bos taurus,species,Bovidae,family,all,65,AA,1,0.607
Bos taurus,species,Bovidae,family,all,65,AA,2,0.539
Bos taurus,species,Bovidae,family,all,65,AA,3,0.729
Bos taurus,species,Bovidae,family,all,65,AA,4,0.85
Bos taurus,species,Bovidae,family,all,65,PC,1,0.4
Bos taurus,species,Bovidae,family,all,65,PC,2,0.743
Bos taurus,species,Bovidae,family,all,65,PC,3,0.539
Bos taurus,species,Bovidae,family,all,65,PC,4,0.421
Bos taurus,species,Bovidae,family,all,65,PC,5,0.771
Bos taurus,species,Bovidae,family,all,65,PC,6,0.85
Bos taurus,species,Bovidae,family,all,65,Domains,0,0.793
Bos,genus,Bovidae,family,all,57,DNA,1,0.375
Bos,genus,Bovidae,family,all,57,DNA,2,0.452
Bos,genus,Bovidae,family,all,57,DNA,3,0.393
Bos,genus,Bovidae,family,all,57,DNA,4,0.619
Bos,genus,Bovidae,family,all,57,DNA,5,0.833
Bos,genus,Bovidae,family,all,57,DNA,6,0.702
Bos,genus,Bovidae,family,all,57,DNA,7,0.327
Bos,genus,Bovidae,family,all,57,DNA,8,0.19
Bos,genus,Bovidae,family,all,57,DNA,9,0.929
Bos,genus,Bovidae,family,all,57,AA,1,0.512
Bos,genus,Bovidae,family,all,57,AA,2,0.821
Bos,genus,Bovidae,family,all,57,AA,3,0.798
Bos,genus,Bovidae,family,all,57,AA,4,0.845
Bos,genus,Bovidae,family,all,57,PC,1,0.333
Bos,genus,Bovidae,family,all,57,PC,2,0.75
Bos,genus,Bovidae,family,all,57,PC,3,0.702
Bos,genus,Bovidae,family,all,57,PC,4,0.673
Bos,genus,Bovidae,family,all,57,PC,5,0.667
Bos,genus,Bovidae,family,all,57,PC,6,0.881
Bos,genus,Bovidae,family,all,57,Domains,0,0.767
Ovis aries,species,Bovidae,family,all,43,DNA,1,0.682
Ovis aries,species,Bovidae,family,all,43,DNA,2,0.682
Ovis aries,species,Bovidae,family,all,43,DNA,3,0.239
Ovis aries,species,Bovidae,family,all,43,DNA,4,0.409
Ovis aries,species,Bovidae,family,all,43,DNA,5,0.398
Ovis aries,species,Bovidae,family,all,43,DNA,6,0.352
Ovis aries,species,Bovidae,family,all,43,DNA,7,0.398
Ovis aries,species,Bovidae,family,all,43,DNA,8,0.682
Ovis aries,species,Bovidae,family,all,43,DNA,9,0.727
Ovis aries,species,Bovidae,family,all,43,AA,1,0.42
Ovis aries,species,Bovidae,family,all,43,AA,2,0.761
Ovis aries,species,Bovidae,family,all,43,AA,3,0.489
Ovis aries,species,Bovidae,family,all,43,AA,4,0.773
Ovis aries,species,Bovidae,family,all,43,PC,1,0.33
Ovis aries,species,Bovidae,family,all,43,PC,2,0.739
Ovis aries,species,Bovidae,family,all,43,PC,3,0.602
Ovis aries,species,Bovidae,family,all,43,PC,4,0.42
Ovis aries,species,Bovidae,family,all,43,PC,5,0.688
Ovis aries,species,Bovidae,family,all,43,PC,6,0.67
Ovis aries,species,Bovidae,family,all,43,Domains,0,0.375
Sus scrofa,species,Mammalia,class,all,187,DNA,1,0.633
Sus scrofa,species,Mammalia,class,all,187,DNA,2,0.758
