label,label_tax,pool,pool_tax,baltimore
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA
Metazoa,kingdom,Eukaryota,superkingdom,ssDNA
Metazoa,kingdom,Eukaryota,superkingdom,dsRNA
Metazoa,kingdom,Eukaryota,superkingdom,(+)ssRNA
Metazoa,kingdom,Eukaryota,superkingdom,(-)ssRNA
Metazoa,kingdom,Eukaryota,superkingdom,Retro
Viridiplantae,kingdom,Eukaryota,superkingdom,ssDNA
Viridiplantae,kingdom,Eukaryota,superkingdom,dsRNA
Viridiplantae,kingdom,Eukaryota,superkingdom,(+)ssRNA
Viridiplantae,kingdom,Eukaryota,superkingdom,(-)ssRNA
Fungi,kingdom,Eukaryota,superkingdom,dsRNA
Fungi,kingdom,Eukaryota,superkingdom,(+)ssRNA
Chordata,phylum,Eukaryota,superkingdom,dsDNA
Chordata,phylum,Eukaryota,superkingdom,ssDNA
Chordata,phylum,Eukaryota,superkingdom,dsRNA
Chordata,phylum,Eukaryota,superkingdom,(+)ssRNA
Chordata,phylum,Eukaryota,superkingdom,(-)ssRNA
Chordata,phylum,Eukaryota,superkingdom,Retro
Arthropoda,phylum,Eukaryota,superkingdom,dsDNA
Arthropoda,phylum,Eukaryota,superkingdom,ssDNA
Arthropoda,phylum,Eukaryota,superkingdom,dsRNA
Arthropoda,phylum,Eukaryota,superkingdom,(+)ssRNA
Streptophyta,phylum,Eukaryota,superkingdom,ssDNA
Streptophyta,phylum,Eukaryota,superkingdom,dsRNA
Streptophyta,phylum,Eukaryota,superkingdom,(+)ssRNA
Streptophyta,phylum,Eukaryota,superkingdom,(-)ssRNA
Mammalia,class,Metazoa,kingdom,dsDNA
Mammalia,class,Metazoa,kingdom,ssDNA
Mammalia,class,Metazoa,kingdom,dsRNA
Mammalia,class,Metazoa,kingdom,(+)ssRNA
Mammalia,class,Metazoa,kingdom,(-)ssRNA
Mammalia,class,Metazoa,kingdom,Retro
Insecta,class,Metazoa,kingdom,dsDNA
Insecta,class,Metazoa,kingdom,ssDNA
Insecta,class,Metazoa,kingdom,dsRNA
Insecta,class,Metazoa,kingdom,(+)ssRNA
Insecta,class,Metazoa,kingdom,(-)ssRNA
Primates,order,Mammalia,class,dsDNA
Primates,order,Mammalia,class,ssDNA
Primates,order,Mammalia,class,dsRNA
Primates,order,Mammalia,class,(+)ssRNA
Primates,order,Mammalia,class,(-)ssRNA
Primates,order,Mammalia,class,Retro
Carnivora,order,Mammalia,class,dsDNA
Carnivora,order,Mammalia,class,ssDNA
Carnivora,order,Mammalia,class,(+)ssRNA
Carnivora,order,Mammalia,class,(-)ssRNA
Rodentia,order,Mammalia,class,dsDNA
Rodentia,order,Mammalia,class,dsDNA
Rodentia,order,Mammalia,class,ssDNA
Rodentia,order,Mammalia,class,dsRNA
Rodentia,order,Mammalia,class,(+)ssRNA
Rodentia,order,Mammalia,class,(-)ssRNA
Chiroptera,order,Mammalia,class,dsDNA
Chiroptera,order,Mammalia,class,ssDNA
Chiroptera,order,Mammalia,class,(+)ssRNA
Chiroptera,order,Mammalia,class,(-)ssRNA
Arachnida,class,Arthropoda,phylum,(+)ssRNA
Arachnida,class,Arthropoda,phylum,(-)ssRNA
