pos_label,pos_rank,pos_n,neg_label,neg_rank,neg_n
Bos taurus,species,100,Bovidae,family,41
Bos,genus,106,Bovidae,family,35
Ovis aries,species,28,Bovidae,family,113
Bovidae,family,141,Cetartiodactyla,no rank,125
Sus scrofa,species,104,Cetartiodactyla,no rank,162
Suidae,family,107,Cetartiodactyla,no rank,159
Vespertilionidae,family,37,Chiroptera,order,120
Pteropodidae,family,44,Chiroptera,order,113
Chiroptera,order,157,Laurasiatheria,superorder,383
Equus,genus,30,Laurasiatheria,superorder,510
Equidae,family,31,Laurasiatheria,superorder,509
Perissodactyla,order,31,Laurasiatheria,superorder,509
Felis catus,species,38,Carnivora,order,54
Felis,genus,38,Carnivora,order,54
Felidae,family,44,Carnivora,order,48
Carnivora,order,92,Laurasiatheria,superorder,448
Homo sapiens,species,846,Primates,order,83
Homo,genus,846,Primates,order,83
Hominidae,family,855,Primates,order,74
Macaca,genus,32,Cercopithecidae,family,64
Chlorocebus aethiops,species,44,Cercopithecidae,family,52
Chlorocebus,genus,48,Cercopithecidae,family,48
Cercopithecidae,family,96,Primates,order,833
Primates,order,929,Euarchontoglires,superorder,231
Mus musculus,species,111,Muridae,family,62
Mus,genus,121,Muridae,family,52
Rattus,genus,32,Muridae,family,141
Muridae,family,173,Rodentia,order,94
Cricetidae,family,84,Rodentia,order,183
Rodentia,order,267,Euarchontoglires,superorder,893
Mammalia,class,1644,Chordata,phylum,236
Gallus gallus,species,44,Aves,class,141
Phasianidae,family,58,Aves,class,127
Galliformes,order,66,Aves,class,119
Anas platyrhynchos,species,28,Aves,class,157
Anas,genus,31,Aves,class,154
Anatidae,family,47,Aves,class,138
Aves,class,185,Chordata,phylum,1695
Chordata,phylum,1880,Metazoa,kingdom,420
Hymenoptera,order,38,Holometabola,cohort,289
Aedes,genus,47,Culicidae,family,127
Culex,genus,74,Culicidae,family,100
Culicidae,family,174,Diptera,order,72
Diptera,order,246,Holometabola,cohort,81
Lepidoptera,order,40,Holometabola,cohort,287
Hemiptera,order,50,Insecta,class,337
Insecta,class,387,Arthropoda,phylum,85
Ixodidae,family,48,Arthropoda,phylum,424
Ixodida,order,61,Arthropoda,phylum,411
Arachnida,class,70,Arthropoda,phylum,402
Arthropoda,phylum,472,Metazoa,kingdom,1828
