label,label_tax,pool_label,pool_tax,Baltimore,N,Features,k,AUC,Acc,Spec,Sens,FDR,TP,TN,FP,FN
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,120,DNA,1,0.487,0.43,0.81,0.0,1.0,0,13,3,14
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,120,DNA,2,0.946,0.87,0.88,0.86,0.14,12,14,2,2
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,120,DNA,3,0.982,0.9,0.88,0.93,0.13,13,14,2,1
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,120,DNA,4,0.969,0.9,0.88,0.93,0.13,13,14,2,1
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,120,DNA,5,0.964,0.9,0.88,0.93,0.13,13,14,2,1
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,120,DNA,6,0.964,0.9,0.88,0.93,0.13,13,14,2,1
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,120,DNA,7,0.973,0.9,0.88,0.93,0.13,13,14,2,1
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,120,DNA,8,0.982,0.9,0.94,0.86,0.08,12,15,1,2
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,120,DNA,9,0.982,0.73,1.0,0.43,0.0,6,16,0,8
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,120,AA,1,0.973,0.9,0.94,0.86,0.08,12,15,1,2
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,120,AA,2,1.0,0.97,1.0,0.93,0.0,13,16,0,1
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,120,AA,3,1.0,0.9,1.0,0.79,0.0,11,16,0,3
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,120,AA,4,0.911,0.53,1.0,0.0,NA,0,16,0,14
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,120,PC,1,0.857,0.7,0.69,0.71,0.33,10,11,5,4
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,120,PC,2,1.0,1.0,1.0,1.0,0.0,14,16,0,0
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,120,PC,3,1.0,1.0,1.0,1.0,0.0,14,16,0,0
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,120,PC,4,0.924,0.83,1.0,0.64,0.0,9,16,0,5
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,120,PC,5,0.817,0.57,1.0,0.07,0.0,1,16,0,13
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,120,PC,6,0.795,0.53,1.0,0.0,NA,0,16,0,14
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,120,Domains,0,1.0,0.97,1.0,0.93,0.0,13,16,0,1
Metazoa,kingdom,Eukaryota,superkingdom,ssDNA,1197,DNA,1,0.665,0.7,0.92,0.47,0.16,67,143,13,77
Metazoa,kingdom,Eukaryota,superkingdom,ssDNA,1197,DNA,2,0.923,0.86,0.9,0.82,0.11,118,141,15,26
Metazoa,kingdom,Eukaryota,superkingdom,ssDNA,1197,DNA,3,0.969,0.91,0.92,0.9,0.08,130,144,12,14
Metazoa,kingdom,Eukaryota,superkingdom,ssDNA,1197,DNA,4,0.946,0.89,0.9,0.87,0.11,125,141,15,19
Metazoa,kingdom,Eukaryota,superkingdom,ssDNA,1197,DNA,5,0.976,0.93,0.94,0.92,0.06,133,147,9,11
Metazoa,kingdom,Eukaryota,superkingdom,ssDNA,1197,DNA,6,0.982,0.96,0.96,0.95,0.04,137,150,6,7
Metazoa,kingdom,Eukaryota,superkingdom,ssDNA,1197,DNA,7,0.987,0.96,0.96,0.96,0.05,138,149,7,6
Metazoa,kingdom,Eukaryota,superkingdom,ssDNA,1197,DNA,8,0.986,0.96,0.95,0.97,0.05,140,148,8,4
Metazoa,kingdom,Eukaryota,superkingdom,ssDNA,1197,DNA,9,0.981,0.96,0.94,0.98,0.06,141,147,9,3
Metazoa,kingdom,Eukaryota,superkingdom,ssDNA,1197,AA,1,0.972,0.92,0.92,0.92,0.08,133,144,12,11
Metazoa,kingdom,Eukaryota,superkingdom,ssDNA,1197,AA,2,0.984,0.95,0.97,0.92,0.04,133,151,5,11
Metazoa,kingdom,Eukaryota,superkingdom,ssDNA,1197,AA,3,0.989,0.97,0.96,0.97,0.04,140,150,6,4
Metazoa,kingdom,Eukaryota,superkingdom,ssDNA,1197,AA,4,0.984,0.97,0.96,0.97,0.04,140,150,6,4
Metazoa,kingdom,Eukaryota,superkingdom,ssDNA,1197,PC,1,0.828,0.78,0.87,0.68,0.17,98,136,20,46
Metazoa,kingdom,Eukaryota,superkingdom,ssDNA,1197,PC,2,0.981,0.93,0.97,0.9,0.04,129,151,5,15
Metazoa,kingdom,Eukaryota,superkingdom,ssDNA,1197,PC,3,0.938,0.91,0.95,0.87,0.06,125,148,8,19
Metazoa,kingdom,Eukaryota,superkingdom,ssDNA,1197,PC,4,0.986,0.96,0.96,0.95,0.04,137,150,6,7
Metazoa,kingdom,Eukaryota,superkingdom,ssDNA,1197,PC,5,0.99,0.96,0.96,0.97,0.05,140,149,7,4
Metazoa,kingdom,Eukaryota,superkingdom,ssDNA,1197,PC,6,0.989,0.95,0.94,0.97,0.07,140,146,10,4
Metazoa,kingdom,Eukaryota,superkingdom,ssDNA,1197,Domains,0,0.964,0.95,0.97,0.93,0.03,134,152,4,10
Metazoa,kingdom,Eukaryota,superkingdom,dsRNA,89,DNA,1,0.608,0.74,1.0,0.0,NA,0,17,0,6
Metazoa,kingdom,Eukaryota,superkingdom,dsRNA,89,DNA,2,0.725,0.78,0.94,0.33,0.33,2,16,1,4
Metazoa,kingdom,Eukaryota,superkingdom,dsRNA,89,DNA,3,0.843,0.78,0.94,0.33,0.33,2,16,1,4
Metazoa,kingdom,Eukaryota,superkingdom,dsRNA,89,DNA,4,0.882,0.87,0.94,0.67,0.2,4,16,1,2
Metazoa,kingdom,Eukaryota,superkingdom,dsRNA,89,DNA,5,0.931,0.87,1.0,0.5,0.0,3,17,0,3
Metazoa,kingdom,Eukaryota,superkingdom,dsRNA,89,DNA,6,0.971,0.83,1.0,0.33,0.0,2,17,0,4
Metazoa,kingdom,Eukaryota,superkingdom,dsRNA,89,DNA,7,0.922,0.74,1.0,0.0,NA,0,17,0,6
Metazoa,kingdom,Eukaryota,superkingdom,dsRNA,89,DNA,8,0.892,0.74,1.0,0.0,NA,0,17,0,6
Metazoa,kingdom,Eukaryota,superkingdom,dsRNA,89,DNA,9,0.833,0.74,1.0,0.0,NA,0,17,0,6
Metazoa,kingdom,Eukaryota,superkingdom,dsRNA,89,AA,1,0.706,0.83,0.94,0.5,0.25,3,16,1,3
Metazoa,kingdom,Eukaryota,superkingdom,dsRNA,89,AA,2,0.931,0.87,1.0,0.5,0.0,3,17,0,3
Metazoa,kingdom,Eukaryota,superkingdom,dsRNA,89,AA,3,0.922,0.74,1.0,0.0,NA,0,17,0,6
Metazoa,kingdom,Eukaryota,superkingdom,dsRNA,89,AA,4,0.98,0.74,1.0,0.0,NA,0,17,0,6
Metazoa,kingdom,Eukaryota,superkingdom,dsRNA,89,PC,1,0.49,0.74,0.94,0.17,0.5,1,16,1,5
Metazoa,kingdom,Eukaryota,superkingdom,dsRNA,89,PC,2,0.706,0.74,0.88,0.33,0.5,2,15,2,4
Metazoa,kingdom,Eukaryota,superkingdom,dsRNA,89,PC,3,0.745,0.78,0.94,0.33,0.33,2,16,1,4
Metazoa,kingdom,Eukaryota,superkingdom,dsRNA,89,PC,4,0.784,0.74,1.0,0.0,NA,0,17,0,6
Metazoa,kingdom,Eukaryota,superkingdom,dsRNA,89,PC,5,0.892,0.74,1.0,0.0,NA,0,17,0,6
Metazoa,kingdom,Eukaryota,superkingdom,dsRNA,89,PC,6,0.863,0.74,1.0,0.0,NA,0,17,0,6
Metazoa,kingdom,Eukaryota,superkingdom,dsRNA,89,Domains,0,0.667,0.78,0.94,0.33,0.33,2,16,1,4
Metazoa,kingdom,Eukaryota,superkingdom,(+)ssRNA,1562,DNA,1,0.554,0.57,0.58,0.55,0.42,110,112,80,89
Metazoa,kingdom,Eukaryota,superkingdom,(+)ssRNA,1562,DNA,2,0.919,0.86,0.83,0.9,0.16,179,159,33,20
Metazoa,kingdom,Eukaryota,superkingdom,(+)ssRNA,1562,DNA,3,0.968,0.92,0.93,0.91,0.07,182,179,13,17
Metazoa,kingdom,Eukaryota,superkingdom,(+)ssRNA,1562,DNA,4,0.979,0.94,0.92,0.96,0.07,191,177,15,8
Metazoa,kingdom,Eukaryota,superkingdom,(+)ssRNA,1562,DNA,5,0.978,0.93,0.9,0.95,0.09,190,173,19,9
Metazoa,kingdom,Eukaryota,superkingdom,(+)ssRNA,1562,DNA,6,0.989,0.96,0.95,0.96,0.04,191,183,9,8
Metazoa,kingdom,Eukaryota,superkingdom,(+)ssRNA,1562,DNA,7,0.991,0.96,0.97,0.96,0.03,191,186,6,8
Metazoa,kingdom,Eukaryota,superkingdom,(+)ssRNA,1562,DNA,8,0.99,0.96,0.96,0.95,0.04,190,185,7,9
Metazoa,kingdom,Eukaryota,superkingdom,(+)ssRNA,1562,DNA,9,0.986,0.96,0.97,0.94,0.03,188,186,6,11
Metazoa,kingdom,Eukaryota,superkingdom,(+)ssRNA,1562,AA,1,0.975,0.96,0.95,0.96,0.04,191,183,9,8
Metazoa,kingdom,Eukaryota,superkingdom,(+)ssRNA,1562,AA,2,0.985,0.97,0.97,0.97,0.03,193,186,6,6
Metazoa,kingdom,Eukaryota,superkingdom,(+)ssRNA,1562,AA,3,0.998,0.98,0.98,0.98,0.02,196,188,4,3
Metazoa,kingdom,Eukaryota,superkingdom,(+)ssRNA,1562,AA,4,0.999,0.98,0.98,0.97,0.02,193,189,3,6
Metazoa,kingdom,Eukaryota,superkingdom,(+)ssRNA,1562,PC,1,0.877,0.82,0.77,0.87,0.2,174,148,44,25
Metazoa,kingdom,Eukaryota,superkingdom,(+)ssRNA,1562,PC,2,0.933,0.88,0.88,0.89,0.12,178,168,24,21
Metazoa,kingdom,Eukaryota,superkingdom,(+)ssRNA,1562,PC,3,0.948,0.9,0.86,0.93,0.12,186,166,26,13
Metazoa,kingdom,Eukaryota,superkingdom,(+)ssRNA,1562,PC,4,0.994,0.96,0.94,0.97,0.06,194,180,12,5
Metazoa,kingdom,Eukaryota,superkingdom,(+)ssRNA,1562,PC,5,0.995,0.97,0.98,0.95,0.02,190,188,4,9
Metazoa,kingdom,Eukaryota,superkingdom,(+)ssRNA,1562,PC,6,0.997,0.97,0.98,0.95,0.02,190,189,3,9
Metazoa,kingdom,Eukaryota,superkingdom,(+)ssRNA,1562,Domains,0,0.995,0.98,0.99,0.96,0.01,192,190,2,7
Metazoa,kingdom,Eukaryota,superkingdom,(-)ssRNA,88,DNA,1,0.624,0.64,0.67,0.62,0.27,8,6,3,5
Metazoa,kingdom,Eukaryota,superkingdom,(-)ssRNA,88,DNA,2,0.769,0.64,0.89,0.46,0.14,6,8,1,7
Metazoa,kingdom,Eukaryota,superkingdom,(-)ssRNA,88,DNA,3,0.949,0.86,1.0,0.77,0.0,10,9,0,3
Metazoa,kingdom,Eukaryota,superkingdom,(-)ssRNA,88,DNA,4,0.966,0.86,1.0,0.77,0.0,10,9,0,3
Metazoa,kingdom,Eukaryota,superkingdom,(-)ssRNA,88,DNA,5,1.0,0.91,1.0,0.85,0.0,11,9,0,2
Metazoa,kingdom,Eukaryota,superkingdom,(-)ssRNA,88,DNA,6,1.0,1.0,1.0,1.0,0.0,13,9,0,0
Metazoa,kingdom,Eukaryota,superkingdom,(-)ssRNA,88,DNA,7,1.0,0.95,0.89,1.0,0.07,13,8,1,0
Metazoa,kingdom,Eukaryota,superkingdom,(-)ssRNA,88,DNA,8,1.0,0.86,0.67,1.0,0.19,13,6,3,0
Metazoa,kingdom,Eukaryota,superkingdom,(-)ssRNA,88,DNA,9,0.932,0.77,0.44,1.0,0.28,13,4,5,0
