label,label_tax,pool_label,pool_tax,holdout,Baltimore,N,features,k,AUC,Acc,Spec,Sens,Prec,TP,TN,FP,FN
Metazoa,kingdom,Eukaryota,superkingdom,,all,354,DNA,1,0.472,0.584,0.795,0.378,0.654,17,35,9,28
Metazoa,kingdom,Eukaryota,superkingdom,,all,354,DNA,2,0.878,0.82,0.909,0.733,0.892,33,40,4,12
Metazoa,kingdom,Eukaryota,superkingdom,,all,354,DNA,3,0.921,0.865,0.818,0.911,0.837,41,36,8,4
Metazoa,kingdom,Eukaryota,superkingdom,,all,354,DNA,4,0.89,0.809,0.705,0.911,0.759,41,31,13,4
Metazoa,kingdom,Eukaryota,superkingdom,,all,354,DNA,5,0.929,0.899,0.818,0.978,0.846,44,36,8,1
Metazoa,kingdom,Eukaryota,superkingdom,,all,354,DNA,6,0.944,0.899,0.818,0.978,0.846,44,36,8,1
Metazoa,kingdom,Eukaryota,superkingdom,,all,354,DNA,7,0.961,0.876,0.773,0.978,0.815,44,34,10,1
Metazoa,kingdom,Eukaryota,superkingdom,,all,354,DNA,8,0.964,0.843,0.682,1.0,0.763,45,30,14,0
Metazoa,kingdom,Eukaryota,superkingdom,,all,354,DNA,9,0.9,0.764,0.568,0.956,0.694,43,25,19,2
Metazoa,kingdom,Eukaryota,superkingdom,,all,354,AA,1,0.878,0.775,0.727,0.822,0.755,37,32,12,8
Metazoa,kingdom,Eukaryota,superkingdom,,all,354,AA,2,0.939,0.843,0.818,0.867,0.83,39,36,8,6
Metazoa,kingdom,Eukaryota,superkingdom,,all,354,AA,3,0.977,0.888,0.795,0.978,0.83,44,35,9,1
Metazoa,kingdom,Eukaryota,superkingdom,,all,354,AA,4,0.918,0.719,0.432,1.0,0.643,45,19,25,0
Metazoa,kingdom,Eukaryota,superkingdom,,all,354,PC,1,0.835,0.787,0.659,0.911,0.732,41,29,15,4
Metazoa,kingdom,Eukaryota,superkingdom,,all,354,PC,2,0.832,0.798,0.705,0.889,0.755,40,31,13,5
Metazoa,kingdom,Eukaryota,superkingdom,,all,354,PC,3,0.923,0.831,0.75,0.911,0.788,41,33,11,4
Metazoa,kingdom,Eukaryota,superkingdom,,all,354,PC,4,0.921,0.854,0.75,0.956,0.796,43,33,11,2
Metazoa,kingdom,Eukaryota,superkingdom,,all,354,PC,5,0.941,0.775,0.568,0.978,0.698,44,25,19,1
