label,label_tax,pool_label,pool_tax,Baltimore,N,Features,k,AUC,Acc,Spec,Sens,FDR,TP,TN,FP,FN
Bos taurus,species,Bovidae,family,all,114,DNA,1,0.505,0.48,0.4,0.57,0.53,8,6,9,6
Bos taurus,species,Bovidae,family,all,114,DNA,2,0.543,0.41,0.47,0.36,0.62,5,7,8,9
Bos taurus,species,Bovidae,family,all,114,DNA,3,0.424,0.59,0.6,0.57,0.43,8,9,6,6
Bos taurus,species,Bovidae,family,all,114,DNA,4,0.543,0.48,0.53,0.43,0.54,6,8,7,8
Bos taurus,species,Bovidae,family,all,114,DNA,5,0.586,0.48,0.47,0.5,0.53,7,7,8,7
Bos taurus,species,Bovidae,family,all,114,DNA,6,0.55,0.52,0.53,0.5,0.5,7,8,7,7
Bos taurus,species,Bovidae,family,all,114,DNA,7,0.433,0.41,0.4,0.43,0.6,6,6,9,8
Bos taurus,species,Bovidae,family,all,114,DNA,8,0.576,0.41,0.4,0.43,0.6,6,6,9,8
Bos taurus,species,Bovidae,family,all,114,DNA,9,0.524,0.59,0.4,0.79,0.45,11,6,9,3
Bos taurus,species,Bovidae,family,all,114,AA,1,0.371,0.45,0.53,0.36,0.58,5,8,7,9
Bos taurus,species,Bovidae,family,all,114,AA,2,0.398,0.62,0.8,0.43,0.33,6,12,3,8
Bos taurus,species,Bovidae,family,all,114,AA,3,0.633,0.55,0.47,0.64,0.47,9,7,8,5
Bos taurus,species,Bovidae,family,all,114,AA,4,0.524,0.55,0.47,0.64,0.47,9,7,8,5
Bos taurus,species,Bovidae,family,all,114,PC,1,0.429,0.41,0.53,0.29,0.64,4,8,7,10
Bos taurus,species,Bovidae,family,all,114,PC,2,0.667,0.62,0.6,0.64,0.4,9,9,6,5
Bos taurus,species,Bovidae,family,all,114,PC,3,0.338,0.66,0.67,0.64,0.36,9,10,5,5
Bos taurus,species,Bovidae,family,all,114,PC,4,0.552,0.48,0.47,0.5,0.53,7,7,8,7
Bos taurus,species,Bovidae,family,all,114,PC,5,0.667,0.62,0.67,0.57,0.38,8,10,5,6
Bos taurus,species,Bovidae,family,all,114,PC,6,0.571,0.55,0.53,0.57,0.47,8,8,7,6
Bos taurus,species,Bovidae,family,all,114,Domains,0,0.721,0.69,0.8,0.57,0.27,8,12,3,6
Bos,genus,Bovidae,family,all,100,DNA,1,0.49,0.56,0.69,0.42,0.44,5,9,4,7
Bos,genus,Bovidae,family,all,100,DNA,2,0.314,0.6,0.46,0.75,0.44,9,6,7,3
Bos,genus,Bovidae,family,all,100,DNA,3,0.404,0.44,0.31,0.58,0.56,7,4,9,5
Bos,genus,Bovidae,family,all,100,DNA,4,0.577,0.6,0.69,0.5,0.4,6,9,4,6
Bos,genus,Bovidae,family,all,100,DNA,5,0.647,0.48,0.54,0.42,0.55,5,7,6,7
Bos,genus,Bovidae,family,all,100,DNA,6,0.462,0.56,0.54,0.58,0.46,7,7,6,5
Bos,genus,Bovidae,family,all,100,DNA,7,0.436,0.52,0.46,0.58,0.5,7,6,7,5
Bos,genus,Bovidae,family,all,100,DNA,8,0.288,0.72,0.77,0.67,0.27,8,10,3,4
Bos,genus,Bovidae,family,all,100,DNA,9,0.731,0.56,0.85,0.25,0.4,3,11,2,9
Bos,genus,Bovidae,family,all,100,AA,1,0.571,0.52,0.54,0.5,0.5,6,7,6,6
Bos,genus,Bovidae,family,all,100,AA,2,0.615,0.6,0.69,0.5,0.4,6,9,4,6
Bos,genus,Bovidae,family,all,100,AA,3,0.519,0.52,0.54,0.5,0.5,6,7,6,6
Bos,genus,Bovidae,family,all,100,AA,4,0.667,0.56,0.54,0.58,0.46,7,7,6,5
Bos,genus,Bovidae,family,all,100,PC,1,0.327,0.64,0.62,0.67,0.38,8,8,5,4
Bos,genus,Bovidae,family,all,100,PC,2,0.577,0.56,0.38,0.75,0.47,9,5,8,3
Bos,genus,Bovidae,family,all,100,PC,3,0.66,0.6,0.62,0.58,0.42,7,8,5,5
Bos,genus,Bovidae,family,all,100,PC,4,0.731,0.6,0.62,0.58,0.42,7,8,5,5
Bos,genus,Bovidae,family,all,100,PC,5,0.718,0.6,0.62,0.58,0.42,7,8,5,5
Bos,genus,Bovidae,family,all,100,PC,6,0.744,0.64,0.77,0.5,0.33,6,10,3,6
Bos,genus,Bovidae,family,all,100,Domains,0,0.526,0.56,0.46,0.67,0.47,8,6,7,4
Ovis aries,species,Bovidae,family,all,75,DNA,1,0.478,0.53,0.5,0.56,0.5,5,5,5,4
Ovis aries,species,Bovidae,family,all,75,DNA,2,0.444,0.53,0.7,0.33,0.5,3,7,3,6
Ovis aries,species,Bovidae,family,all,75,DNA,3,0.339,0.42,0.4,0.44,0.6,4,4,6,5
Ovis aries,species,Bovidae,family,all,75,DNA,4,0.622,0.53,0.4,0.67,0.5,6,4,6,3
Ovis aries,species,Bovidae,family,all,75,DNA,5,0.422,0.37,0.3,0.44,0.64,4,3,7,5
Ovis aries,species,Bovidae,family,all,75,DNA,6,0.467,0.42,0.4,0.44,0.6,4,4,6,5
Ovis aries,species,Bovidae,family,all,75,DNA,7,0.411,0.32,0.2,0.44,0.67,4,2,8,5
Ovis aries,species,Bovidae,family,all,75,DNA,8,0.578,0.42,0.2,0.67,0.57,6,2,8,3
Ovis aries,species,Bovidae,family,all,75,DNA,9,0.667,0.68,0.8,0.56,0.29,5,8,2,4
Ovis aries,species,Bovidae,family,all,75,AA,1,0.522,0.58,0.4,0.78,0.46,7,4,6,2
Ovis aries,species,Bovidae,family,all,75,AA,2,0.489,0.58,0.4,0.78,0.46,7,4,6,2
Ovis aries,species,Bovidae,family,all,75,AA,3,0.633,0.68,0.7,0.67,0.33,6,7,3,3
Ovis aries,species,Bovidae,family,all,75,AA,4,0.6,0.63,0.8,0.44,0.33,4,8,2,5
Ovis aries,species,Bovidae,family,all,75,PC,1,0.633,0.42,0.3,0.56,0.58,5,3,7,4
Ovis aries,species,Bovidae,family,all,75,PC,2,0.456,0.58,0.3,0.89,0.47,8,3,7,1
Ovis aries,species,Bovidae,family,all,75,PC,3,0.589,0.58,0.6,0.56,0.44,5,6,4,4
Ovis aries,species,Bovidae,family,all,75,PC,4,0.578,0.58,0.2,1.0,0.47,9,2,8,0
Ovis aries,species,Bovidae,family,all,75,PC,5,0.544,0.58,0.5,0.67,0.45,6,5,5,3
Ovis aries,species,Bovidae,family,all,75,PC,6,0.589,0.58,0.8,0.33,0.4,3,8,2,6
Ovis aries,species,Bovidae,family,all,75,Domains,0,0.5,0.53,0.7,0.33,0.5,3,7,3,6
Sus scrofa,species,Mammalia,class,all,336,DNA,1,0.487,0.48,0.43,0.53,0.54,21,19,25,19
Sus scrofa,species,Mammalia,class,all,336,DNA,2,0.649,0.58,0.59,0.57,0.44,23,26,18,17
Sus scrofa,species,Mammalia,class,all,336,DNA,3,0.681,0.63,0.66,0.6,0.38,24,29,15,16
Sus scrofa,species,Mammalia,class,all,336,DNA,4,0.721,0.64,0.64,0.65,0.38,26,28,16,14
Sus scrofa,species,Mammalia,class,all,336,DNA,5,0.719,0.68,0.66,0.7,0.35,28,29,15,12
Sus scrofa,species,Mammalia,class,all,336,DNA,6,0.77,0.67,0.64,0.7,0.36,28,28,16,12
Sus scrofa,species,Mammalia,class,all,336,DNA,7,0.847,0.77,0.8,0.75,0.23,30,35,9,10
Sus scrofa,species,Mammalia,class,all,336,DNA,8,0.847,0.77,0.86,0.68,0.18,27,38,6,13
Sus scrofa,species,Mammalia,class,all,336,DNA,9,0.854,0.8,0.91,0.68,0.13,27,40,4,13
Sus scrofa,species,Mammalia,class,all,336,AA,1,0.764,0.75,0.77,0.72,0.26,29,34,10,11
Sus scrofa,species,Mammalia,class,all,336,AA,2,0.764,0.64,0.55,0.75,0.4,30,24,20,10
Sus scrofa,species,Mammalia,class,all,336,AA,3,0.852,0.76,0.8,0.72,0.24,29,35,9,11
Sus scrofa,species,Mammalia,class,all,336,AA,4,0.853,0.75,0.84,0.65,0.21,26,37,7,14
Sus scrofa,species,Mammalia,class,all,336,PC,1,0.542,0.52,0.5,0.55,0.5,22,22,22,18
Sus scrofa,species,Mammalia,class,all,336,PC,2,0.601,0.57,0.55,0.6,0.45,24,24,20,16
Sus scrofa,species,Mammalia,class,all,336,PC,3,0.839,0.81,0.84,0.78,0.18,31,37,7,9
Sus scrofa,species,Mammalia,class,all,336,PC,4,0.801,0.73,0.68,0.78,0.31,31,30,14,9
Sus scrofa,species,Mammalia,class,all,336,PC,5,0.799,0.7,0.66,0.75,0.33,30,29,15,10
Sus scrofa,species,Mammalia,class,all,336,PC,6,0.825,0.79,0.89,0.68,0.16,27,39,5,13
Sus scrofa,species,Mammalia,class,all,336,Domains,0,0.713,0.71,0.64,0.8,0.33,32,28,16,8
Suidae,family,Mammalia,class,all,336,DNA,1,0.588,0.56,0.49,0.63,0.46,26,21,22,15
Suidae,family,Mammalia,class,all,336,DNA,2,0.642,0.65,0.67,0.63,0.35,26,29,14,15
