positive label,label tax group,pool label,pool tax group,Baltimore,N in class,Features,k,AUC
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,250,DNA,1,0.65
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,250,DNA,2,0.802
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,250,DNA,3,0.978
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,250,DNA,4,0.999
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,250,DNA,5,1.0
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,250,DNA,6,1.0
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,250,DNA,7,1.0
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,250,DNA,8,1.0
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,250,DNA,9,1.0
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,250,AA,1,0.986
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,250,AA,2,1.0
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,250,AA,3,0.999
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,250,AA,4,0.981
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,250,PC,1,0.986
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,250,PC,2,0.981
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,250,PC,3,0.979
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,250,PC,4,0.989
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,250,PC,5,0.978
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,250,PC,6,0.994
Metazoa,kingdom,Eukaryota,superkingdom,dsDNA,250,Domains,0,1.0
Metazoa,kingdom,Eukaryota,superkingdom,ssDNA,250,DNA,1,0.841
Metazoa,kingdom,Eukaryota,superkingdom,ssDNA,250,DNA,2,0.894
Metazoa,kingdom,Eukaryota,superkingdom,ssDNA,250,DNA,3,0.909
Metazoa,kingdom,Eukaryota,superkingdom,ssDNA,250,DNA,4,0.961
Metazoa,kingdom,Eukaryota,superkingdom,ssDNA,250,DNA,5,0.969
Metazoa,kingdom,Eukaryota,superkingdom,ssDNA,250,DNA,6,0.979
Metazoa,kingdom,Eukaryota,superkingdom,ssDNA,250,DNA,7,0.979
