positive label,label tax group,pool label,pool tax group,Baltimore,N in class,Features,k,AUC
Bos taurus,species,Mammalia,class,DNA,74,DNA,1,0.538
Bos taurus,species,Mammalia,class,DNA,74,DNA,2,0.778
Bos taurus,species,Mammalia,class,DNA,74,DNA,3,0.827
Bos taurus,species,Mammalia,class,DNA,74,DNA,4,0.924
Bos taurus,species,Mammalia,class,DNA,74,DNA,5,0.907
Bos taurus,species,Mammalia,class,DNA,74,DNA,6,0.929
Bos taurus,species,Mammalia,class,DNA,74,DNA,7,0.898
Bos taurus,species,Mammalia,class,DNA,74,DNA,8,0.871
Bos taurus,species,Mammalia,class,DNA,74,DNA,9,0.818
Bos taurus,species,Mammalia,class,DNA,74,AA,1,0.667
Bos taurus,species,Mammalia,class,DNA,74,AA,2,0.762
Bos taurus,species,Mammalia,class,DNA,74,AA,3,0.824
Bos taurus,species,Mammalia,class,DNA,74,AA,4,0.886
Bos taurus,species,Mammalia,class,DNA,74,PC,1,0.624
Bos taurus,species,Mammalia,class,DNA,74,PC,2,0.8
Bos taurus,species,Mammalia,class,DNA,74,PC,3,0.714
Bos taurus,species,Mammalia,class,DNA,74,PC,4,0.752
Bos taurus,species,Mammalia,class,DNA,74,PC,5,0.829
Bos taurus,species,Mammalia,class,DNA,74,PC,6,0.79
Bos taurus,species,Mammalia,class,DNA,74,Domains,0,0.942
Bos,genus,Mammalia,class,DNA,76,DNA,1,0.531
Bos,genus,Mammalia,class,DNA,76,DNA,2,0.792
Bos,genus,Mammalia,class,DNA,76,DNA,3,0.925
Bos,genus,Mammalia,class,DNA,76,DNA,4,0.953
Bos,genus,Mammalia,class,DNA,76,DNA,5,0.98
Bos,genus,Mammalia,class,DNA,76,DNA,6,0.982
Bos,genus,Mammalia,class,DNA,76,DNA,7,0.976
Bos,genus,Mammalia,class,DNA,76,DNA,8,0.945
Bos,genus,Mammalia,class,DNA,76,DNA,9,0.941
Bos,genus,Mammalia,class,DNA,76,AA,1,0.967
Bos,genus,Mammalia,class,DNA,76,AA,2,0.957
Bos,genus,Mammalia,class,DNA,76,AA,3,0.91
Bos,genus,Mammalia,class,DNA,76,AA,4,0.937
Bos,genus,Mammalia,class,DNA,76,PC,1,0.898
Bos,genus,Mammalia,class,DNA,76,PC,2,0.855
Bos,genus,Mammalia,class,DNA,76,PC,3,0.949
Bos,genus,Mammalia,class,DNA,76,PC,4,0.906
Bos,genus,Mammalia,class,DNA,76,PC,5,0.953
Bos,genus,Mammalia,class,DNA,76,PC,6,0.918
Bos,genus,Mammalia,class,DNA,76,Domains,0,0.988
Bovidae,family,Mammalia,class,DNA,98,DNA,1,0.412
Bovidae,family,Mammalia,class,DNA,98,DNA,2,0.669
Bovidae,family,Mammalia,class,DNA,98,DNA,3,0.813
Bovidae,family,Mammalia,class,DNA,98,DNA,4,0.841
Bovidae,family,Mammalia,class,DNA,98,DNA,5,0.884
Bovidae,family,Mammalia,class,DNA,98,DNA,6,0.869
Bovidae,family,Mammalia,class,DNA,98,DNA,7,0.853
Bovidae,family,Mammalia,class,DNA,98,DNA,8,0.837
Bovidae,family,Mammalia,class,DNA,98,DNA,9,0.819
Bovidae,family,Mammalia,class,DNA,98,AA,1,0.718
Bovidae,family,Mammalia,class,DNA,98,AA,2,0.85
Bovidae,family,Mammalia,class,DNA,98,AA,3,0.794
Bovidae,family,Mammalia,class,DNA,98,AA,4,0.753
Bovidae,family,Mammalia,class,DNA,98,PC,1,0.603
Bovidae,family,Mammalia,class,DNA,98,PC,2,0.691
Bovidae,family,Mammalia,class,DNA,98,PC,3,0.829
Bovidae,family,Mammalia,class,DNA,98,PC,4,0.856
Bovidae,family,Mammalia,class,DNA,98,PC,5,0.791
Bovidae,family,Mammalia,class,DNA,98,PC,6,0.765
Bovidae,family,Mammalia,class,DNA,98,Domains,0,0.918
Sus scrofa,species,Mammalia,class,DNA,83,DNA,1,0.43
Sus scrofa,species,Mammalia,class,DNA,83,DNA,2,0.864
Sus scrofa,species,Mammalia,class,DNA,83,DNA,3,0.824
Sus scrofa,species,Mammalia,class,DNA,83,DNA,4,0.93
Sus scrofa,species,Mammalia,class,DNA,83,DNA,5,0.941
Sus scrofa,species,Mammalia,class,DNA,83,DNA,6,0.934
Sus scrofa,species,Mammalia,class,DNA,83,DNA,7,0.934
Sus scrofa,species,Mammalia,class,DNA,83,DNA,8,0.945
Sus scrofa,species,Mammalia,class,DNA,83,DNA,9,0.919
Sus scrofa,species,Mammalia,class,DNA,83,AA,1,0.846
Sus scrofa,species,Mammalia,class,DNA,83,AA,2,0.938
Sus scrofa,species,Mammalia,class,DNA,83,AA,3,0.941
Sus scrofa,species,Mammalia,class,DNA,83,AA,4,0.952
Sus scrofa,species,Mammalia,class,DNA,83,PC,1,0.739
Sus scrofa,species,Mammalia,class,DNA,83,PC,2,0.779
Sus scrofa,species,Mammalia,class,DNA,83,PC,3,0.838
Sus scrofa,species,Mammalia,class,DNA,83,PC,4,0.93
Sus scrofa,species,Mammalia,class,DNA,83,PC,5,0.96
Sus scrofa,species,Mammalia,class,DNA,83,PC,6,0.971
Sus scrofa,species,Mammalia,class,DNA,83,Domains,0,0.83
Suidae,family,Mammalia,class,DNA,83,DNA,1,0.5
Suidae,family,Mammalia,class,DNA,83,DNA,2,0.824
Suidae,family,Mammalia,class,DNA,83,DNA,3,0.643
Suidae,family,Mammalia,class,DNA,83,DNA,4,0.695
Suidae,family,Mammalia,class,DNA,83,DNA,5,0.688
Suidae,family,Mammalia,class,DNA,83,DNA,6,0.809
Suidae,family,Mammalia,class,DNA,83,DNA,7,0.875
Suidae,family,Mammalia,class,DNA,83,DNA,8,0.923
Suidae,family,Mammalia,class,DNA,83,DNA,9,0.757
Suidae,family,Mammalia,class,DNA,83,AA,1,0.689
Suidae,family,Mammalia,class,DNA,83,AA,2,0.773
Suidae,family,Mammalia,class,DNA,83,AA,3,0.66
Suidae,family,Mammalia,class,DNA,83,AA,4,0.82
Suidae,family,Mammalia,class,DNA,83,PC,1,0.574
Suidae,family,Mammalia,class,DNA,83,PC,2,0.742
Suidae,family,Mammalia,class,DNA,83,PC,3,0.715
Suidae,family,Mammalia,class,DNA,83,PC,4,0.73
