label,holdout,dataset,AA_4,PC_6,Domains_0,DNA_9,AUC,Acc,Spec,Sens,Prec,TP,TN,FP,FN
Bacillales,Siphoviridae,Bacillales_Siphoviridae,0.0,0.0,0.0,1.0,0.92,0.62,1.0,0.25,1.0,5,20,0,15
Bacillales,Siphoviridae,Bacillales_Siphoviridae,0.0,0.0,0.2,0.8,0.922,0.62,1.0,0.25,1.0,5,20,0,15
Bacillales,Siphoviridae,Bacillales_Siphoviridae,0.0,0.0,0.4,0.6,0.928,0.62,1.0,0.25,1.0,5,20,0,15
Bacillales,Siphoviridae,Bacillales_Siphoviridae,0.0,0.0,0.6,0.4,0.932,0.65,1.0,0.3,1.0,6,20,0,14
Bacillales,Siphoviridae,Bacillales_Siphoviridae,0.0,0.0,0.8,0.2,0.94,0.65,1.0,0.3,1.0,6,20,0,14
Bacillales,Siphoviridae,Bacillales_Siphoviridae,0.0,0.0,1.0,0.0,0.842,0.72,0.85,0.6,0.8,12,17,3,8
Bacillales,Siphoviridae,Bacillales_Siphoviridae,0.0,0.2,0.0,0.8,0.952,0.65,1.0,0.3,1.0,6,20,0,14
Bacillales,Siphoviridae,Bacillales_Siphoviridae,0.0,0.2,0.2,0.6,0.955,0.65,1.0,0.3,1.0,6,20,0,14
Bacillales,Siphoviridae,Bacillales_Siphoviridae,0.0,0.2,0.4,0.4,0.952,0.7,1.0,0.4,1.0,8,20,0,12
Bacillales,Siphoviridae,Bacillales_Siphoviridae,0.0,0.2,0.6,0.2,0.955,0.8,1.0,0.6,1.0,12,20,0,8
Bacillales,Siphoviridae,Bacillales_Siphoviridae,0.0,0.2,0.8,0.0,0.65,0.6,0.25,0.95,0.56,19,5,15,1
Bacillales,Siphoviridae,Bacillales_Siphoviridae,0.0,0.4,0.0,0.6,0.95,0.72,1.0,0.45,1.0,9,20,0,11
Bacillales,Siphoviridae,Bacillales_Siphoviridae,0.0,0.4,0.2,0.4,0.952,0.8,1.0,0.6,1.0,12,20,0,8
Bacillales,Siphoviridae,Bacillales_Siphoviridae,0.0,0.4,0.4,0.2,0.96,0.82,1.0,0.65,1.0,13,20,0,7
Bacillales,Siphoviridae,Bacillales_Siphoviridae,0.0,0.4,0.6,0.0,0.645,0.55,0.15,0.95,0.53,19,3,17,1
Bacillales,Siphoviridae,Bacillales_Siphoviridae,0.0,0.6,0.0,0.4,0.96,0.82,1.0,0.65,1.0,13,20,0,7
Bacillales,Siphoviridae,Bacillales_Siphoviridae,0.0,0.6,0.2,0.2,0.957,0.85,0.95,0.75,0.94,15,19,1,5
Bacillales,Siphoviridae,Bacillales_Siphoviridae,0.0,0.6,0.4,0.0,0.648,0.55,0.15,0.95,0.53,19,3,17,1
Bacillales,Siphoviridae,Bacillales_Siphoviridae,0.0,0.8,0.0,0.2,0.952,0.85,0.9,0.8,0.89,16,18,2,4
